Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
RUS,WST,2011,3,106,168,20,1.5849056603773586,2.037121800263919
RUS,MYS,2014,3,97,175,20,1.8041237113402062,2.808614632021052
RUS,JPN,2017,4,29,96,20,3.310344827586207,5.9647982140211715
RUS,IDN,2013,1,163,270,20,1.656441717791411,2.323737857599578
RUS,SDN,2017,1,74,155,20,2.0945945945945947,3.079623348784935
RUS,IND,2009,1,260,495,20,1.9038461538461537,2.5351552569837166
RUS,AZE,2010,1,1134,1312,20,1.1569664902998236,0.9645343620133653
RUS,JPN,2009,4,32,90,20,2.8125,4.351028799364953
RUS,LBY,2011,3,298,472,20,1.5838926174496644,2.012086948275363
RUS,VEN,2014,3,19,81,20,4.2631578947368425,5.300336522473077
RUS,EUR,2009,4,29,79,20,2.7241379310344827,3.9087498158813774
RUS,DEU,2011,3,64,115,20,1.796875,2.501933775911668
RUS,NOR,2016,3,25,72,19,2.88,4.675467891024383
RUS,CHE,2013,3,37,95,19,2.5675675675675675,4.652003991952408
RUS,LVA,2014,1,110,195,19,1.7727272727272727,2.9759250844777143
RUS,DNK,2010,3,2,20,19,10.0,12.727922061357855
RUS,THA,2009,4,4,22,19,5.5,9.0
RUS,ESP,2012,2,19,70,19,3.6842105263157894,5.627833919003211
RUS,EUR,2015,3,299,478,19,1.5986622073578596,1.837199014186541
RUS,FIN,2015,4,21,65,19,3.0952380952380953,5.11766315719159
RUS,PAK,2010,1,251,446,19,1.7768924302788844,2.984966315451896
RUS,BEL,2014,4,31,78,19,2.5161290322580645,3.6594258906913764
RUS,CUB,2013,1,294,469,19,1.5952380952380953,1.4031088511717942
RUS,EGY,2013,1,552,739,19,1.338768115942029,1.3919983691598972
RUS,CMR,2015,1,10,29,19,2.9,5.665686189686118
RUS,AFG,2010,1,263,436,19,1.6577946768060836,2.564586719463966
RUS,CHE,2015,4,8,27,19,3.375,6.323143431644016
RUS,IRN,2010,3,155,278,19,1.793548387096774,2.43805536248986
RUS,VNM,2017,1,175,228,19,1.302857142857143,1.972437332641696
RUS,BLR,2014,1,1838,2439,19,1.3269858541893362,1.3399927488717862
RUS,KOR,2015,1,267,383,19,1.4344569288389513,1.5311342744419842
RUS,TJK,2013,1,335,377,19,1.1253731343283582,1.255806070737049
RUS,IRN,2016,3,191,252,18,1.3193717277486912,1.4645249357409384
RUS,FRA,2009,1,744,1226,18,1.6478494623655915,2.069367872200999
RUS,SYR,2012,2,246,395,18,1.6056910569105691,2.0925056092093888
RUS,ARM,2014,1,1423,1620,18,1.1384399156711174,1.0062139342324736
RUS,FRA,2014,2,42,106,18,2.5238095238095237,4.244009236778156
RUS,CYP,2017,1,103,254,18,2.466019417475728,4.079637464623115
