ECount,Target,MaxSources,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
1410,USA,9,0.5996964871998474,1595,FRA,2008,1.1312056737588652,1
141,ISR,9,1.3851506598768395,221,FRA,2011,1.5673758865248226,3
14,MLI,9,2.9050921568102517,30,FRA,2010,2.142857142857143,4
53,EUR,9,1.4353509050436337,82,FRA,2010,1.5471698113207548,4
29,MEX,9,1.5183605366354271,39,FRA,2009,1.3448275862068966,4
704,ISR,8,0.7690201590617249,857,FRA,2008,1.2173295454545454,1
19,DZA,8,1.6401397743888062,31,FRA,2013,1.631578947368421,3
124,ZAF,8,1.5479697455283397,225,FRA,2013,1.814516129032258,1
218,MLI,8,1.4041404369042645,339,FRA,2012,1.555045871559633,1
32,RWA,8,2.2466372720708754,73,FRA,2014,2.28125,4
22,PAK,8,1.492405014489273,29,FRA,2006,1.3181818181818181,1
43,MLI,8,2.1038908215844487,84,FRA,2014,1.9534883720930232,2
119,GBR,8,1.336812391220477,197,FRA,2011,1.6554621848739495,4
208,LBN,8,1.2858027610194582,284,FRA,2013,1.3653846153846154,1
143,CHE,8,0.9496846402808794,186,FRA,2010,1.3006993006993006,1
4,GRC,8,3.5,11,FRA,2009,2.75,2
52,IRQ,8,1.6031642918323543,88,FRA,2014,1.6923076923076923,3
2,PAN,8,4.949747468305833,9,FRA,2011,4.5,2
47,GAB,8,1.4869148659847347,72,FRA,2010,1.5319148936170213,1
35,SVK,8,1.304806885482814,47,FRA,2013,1.3428571428571427,1
29,AFR,8,1.6822750253997543,44,FRA,2009,1.5172413793103448,3
2,JOR,8,4.242640687119285,10,FRA,2012,5.0,4
10,NER,8,2.9059326290271157,30,FRA,2012,3.0,4
8,CUB,8,2.6423744732991303,23,FRA,2010,2.875,2
48,MLI,8,2.0463381929681126,99,FRA,2012,2.0625,3
145,EGY,8,0.9206028343124201,183,FRA,2008,1.2620689655172415,1
79,GBR,8,1.537690491625786,139,FRA,2014,1.759493670886076,4
123,TCD,8,1.7997882203965059,236,FRA,2014,1.91869918699187,1
23,BGR,8,2.013786475369086,38,FRA,2010,1.6521739130434783,2
24,MLI,8,1.9392961520142795,54,FRA,2014,2.25,3
42,ISR,8,1.2393565450509967,55,FRA,2013,1.3095238095238095,4
25,ESP,8,1.57797338380595,41,FRA,2014,1.64,4
34,MLI,8,1.4567441047793086,55,FRA,2014,1.6176470588235294,4
62,COD,8,1.6805258425119824,111,FRA,2012,1.7903225806451613,1
128,POL,8,0.7522930824417859,156,FRA,2007,1.21875,1
27,NGA,8,2.317405957179357,73,FRA,2013,2.7037037037037037,4
76,DEU,8,1.089986318922672,102,FRA,2008,1.3421052631578947,3
1289,USA,8,0.7282976284703264,1569,FRA,2007,1.21722265321955,1
39,GAB,8,1.699408486438348,71,FRA,2011,1.8205128205128205,1
10,AGO,8,2.8067379246694513,31,FRA,2009,3.1,4
489,CHN,8,1.1355394595636426,675,FRA,2014,1.3803680981595092,1
11,AFR,8,2.8025961989814827,26,FRA,2012,2.3636363636363638,2
6,TCD,8,3.6147844564602556,20,FRA,2014,3.3333333333333335,4
12,SWE,8,2.6742316936860857,28,FRA,2009,2.3333333333333335,3
85,GRC,8,0.9270295321624876,103,FRA,2008,1.2117647058823529,1
19,ARM,8,1.6059101370939324,26,FRA,2012,1.368421052631579,4
11,YEM,8,2.5405797477240224,29,FRA,2010,2.6363636363636362,2
27,JOR,7,1.596827338774468,44,FRA,2011,1.6296296296296295,3
13,MEA,7,1.640825308284734,23,FRA,2012,1.7692307692307692,4
48,CHN,7,1.7335856335745778,90,FRA,2011,1.875,3
5,ZAF,7,3.03315017762062,16,FRA,2011,3.2,2
13,CZE,7,2.24179415327122,29,FRA,2012,2.230769230769231,1
7,WAF,7,2.14919697074224,17,FRA,2013,2.4285714285714284,4
455,IRN,7,0.6909886149651971,560,FRA,2006,1.2307692307692308,1
6,POL,7,2.8577380332470415,17,FRA,2011,2.8333333333333335,3
117,AUS,7,1.611509956017539,202,FRA,2014,1.7264957264957266,1
26,MEA,7,1.6548297611722902,40,FRA,2013,1.5384615384615385,1
11,KAZ,7,1.7786613965666327,20,FRA,2013,1.8181818181818181,3
72,MEX,7,1.146454697080074,101,FRA,2014,1.4027777777777777,1
62,POL,7,1.3504215218296973,97,FRA,2012,1.564516129032258,1
9,COG,7,2.1278575558006176,22,FRA,2012,2.4444444444444446,3
60,IRN,7,1.3838250436425947,89,FRA,2014,1.4833333333333334,3
14,MEA,7,2.437121342805983,51,FRA,2009,3.642857142857143,1
23,TCD,7,1.3759653456432206,33,FRA,2009,1.434782608695652,2
46,DNK,7,1.1521875853714352,60,FRA,2012,1.3043478260869565,1
26,GBR,7,1.1922828781536963,34,FRA,2012,1.3076923076923077,4
27,TUR,7,1.4973861366278378,44,FRA,2012,1.6296296296296295,4
53,MMR,7,1.0419363463198186,73,FRA,2008,1.3773584905660377,1
88,SWE,7,1.5719840175097728,153,FRA,2012,1.7386363636363635,1
30,NGA,7,1.224744871391589,45,FRA,2014,1.5,4
632,AZE,7,0.4829642102409749,722,FRA,2014,1.1424050632911393,1
14,AFR,7,2.14322341192107,30,FRA,2014,2.142857142857143,4
