ECount,Target,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
736,SYR,4.288608193069015,1383,IRN,2010,1.8790760869565217,3
8762,USA,4.178007060984598,16464,IRN,2014,1.8790230540972381,4
761,PAK,7.201209208692862,1429,IRN,2010,1.8777923784494086,3
121,JOR,4.686096897443694,227,IRN,2011,1.8760330578512396,4
1253,CHN,3.1970156078011454,2350,IRN,2010,1.8754988028731046,3
1013,AFG,4.443077203715862,1898,IRN,2011,1.8736426456071076,3
1357,VEN,3.2846966796823973,2542,IRN,2013,1.873249815770081,1
86,CYP,2.299854274810149,161,IRN,2013,1.872093023255814,4
17397,USA,2.983214794083669,32536,IRN,2009,1.870207507041444,3
23,ISL,2.117123860036341,43,IRN,2010,1.8695652173913044,1
68,SGP,1.6563258364701026,127,IRN,2008,1.8676470588235294,1
1899,AUT,2.7875254944703216,3544,IRN,2013,1.866245392311743,1
354,IND,2.5600391315970183,660,IRN,2012,1.8644067796610169,3
1639,RUS,4.179930324634299,3052,IRN,2010,1.862111043319097,2
214,AUT,3.054892476015448,398,IRN,2009,1.8598130841121496,2
520,SAU,3.136813523477777,967,IRN,2010,1.8596153846153847,4
605,FRA,2.51454637306957,1125,IRN,2011,1.859504132231405,4
142,AUT,1.8434917119799175,264,IRN,2011,1.8591549295774648,3
7,ECU,0.8997354108424375,13,IRN,2010,1.8571428571428572,2
560,LBN,4.820308006951518,1040,IRN,2012,1.8571428571428572,2
231,ARG,2.1123711324580814,429,IRN,2013,1.8571428571428572,4
7,SEA,1.4638501094227998,13,IRN,2013,1.8571428571428572,4
405,LBY,2.255030096982311,751,IRN,2011,1.854320987654321,2
2510,RUS,3.55233822051495,4653,IRN,2010,1.853784860557769,3
1973,SYR,3.607144984369048,3657,IRN,2011,1.853522554485555,3
259,WST,3.7127606845676135,480,IRN,2011,1.8532818532818534,3
20,MDV,2.207046132634963,37,IRN,2009,1.85,3
46,SGP,1.9318084941243567,85,IRN,2012,1.8478260869565217,4
4856,GBR,3.5198579476303147,8973,IRN,2010,1.847817133443163,1
1088,RUS,2.8342852345406992,2008,IRN,2013,1.8455882352941178,4
64,NPL,1.8449308499967798,118,IRN,2014,1.84375,1
1017,SAU,3.4856485282258722,1875,IRN,2012,1.8436578171091444,4
434,BHR,2.601006032989646,800,IRN,2013,1.8433179723502304,3
51,KGZ,1.847945334901526,94,IRN,2008,1.8431372549019607,2
121,AUS,4.343593490154609,223,IRN,2013,1.8429752066115703,3
