Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
USA,ESP,2012,1,2077,7391,124,3.5584978334135773,9.3489446539799
USA,PAK,2011,4,2563,6690,124,2.610222395630121,6.501174222084768
USA,IND,2010,1,4507,10974,124,2.4348790769913466,6.713984931091673
USA,MMR,2015,1,1442,4081,124,2.8300970873786406,7.862691080321779
USA,ISR,2011,1,11348,28251,124,2.4895135706732465,6.248953395157228
USA,MOZ,2016,1,79,380,124,4.810126582278481,19.575020679405583
USA,YEM,2011,3,567,1603,123,2.8271604938271606,7.3517217195008575
USA,MEX,2011,1,2988,7077,123,2.3684738955823295,5.591833391945985
USA,PRK,2014,1,3138,7727,123,2.4623964308476736,6.445575659179596
USA,MEX,2010,1,2954,6702,122,2.268788083953961,5.979946798986309
USA,PAK,2016,3,1240,2254,122,1.8177419354838709,6.574390213603536
USA,BHR,2016,1,490,2039,122,4.161224489795918,13.81296797893664
USA,KHM,2015,1,840,3346,122,3.9833333333333334,12.425787647034115
USA,IRQ,2011,1,5563,12673,122,2.278087362933669,5.388348912262199
USA,CHN,2016,3,3760,8941,122,2.3779255319148938,6.749261589854592
USA,AFG,2011,1,9120,25589,122,2.805811403508772,7.988114127908862
USA,PAK,2016,4,576,1435,121,2.4913194444444446,10.417206217910513
USA,LBY,2016,3,1445,3163,121,2.1889273356401384,6.519171749761461
USA,SAU,2017,4,271,641,121,2.3653136531365315,8.055555696936276
USA,JPN,2010,1,6387,16732,121,2.6196962580241117,7.472103272266917
USA,ITA,2017,2,182,643,121,3.532967032967033,12.67775321211115
USA,GBR,2017,4,1047,3055,121,2.9178605539637057,9.529411852568385
USA,AFR,2012,1,2197,3961,121,1.8029130632680928,4.025514106731593
USA,AFG,2014,3,1305,2842,121,2.1777777777777776,5.21682885862187
USA,SYR,2016,3,4441,12284,121,2.7660436838549876,8.283190394123418
USA,EUR,2012,3,417,982,121,2.354916067146283,7.144704941904927
USA,GMB,2017,1,132,435,120,3.2954545454545454,14.679132322654828
USA,SWE,2013,1,1473,4574,120,3.105227427019688,7.512972917402059
USA,WST,2016,3,294,744,119,2.5306122448979593,8.895146601994586
USA,IRN,2014,1,11633,24677,119,2.12129287372131,4.4923503657204735
USA,KOR,2016,3,401,1531,119,3.8179551122194515,12.7677044455133
USA,MLI,2015,4,65,465,119,7.153846153846154,20.530640797073566
USA,SYR,2012,1,7105,15404,118,2.1680506685432794,4.833974224096995
USA,AUS,2017,2,428,854,118,1.9953271028037383,6.1981319717792065
USA,AUS,2015,2,233,629,118,2.699570815450644,9.927098483331639
USA,IDN,2016,1,854,1995,118,2.3360655737704916,7.163682436402549
USA,ESP,2011,1,781,2265,118,2.9001280409731116,9.60917096581444
USA,MYS,2015,4,87,394,118,4.528735632183908,15.20315074479076
USA,PAK,2015,4,560,1434,118,2.5607142857142855,7.1367846663881505
USA,CHN,2011,1,13008,32503,117,2.4986931119311193,6.16065869214458
USA,SSD,2015,1,553,1427,117,2.580470162748644,8.293382760046319
USA,GHA,2016,4,40,212,117,5.3,19.3446474409689
USA,VEN,2017,1,1092,4123,117,3.7756410256410255,10.0414371568679
USA,LBR,2016,1,971,3134,117,3.227600411946447,12.168096713870368
USA,BHS,2017,4,18,159,117,8.833333333333334,27.127693685713172
USA,LBY,2012,4,3274,8716,117,2.6621869273060477,6.2822496107354615
USA,BRA,2015,1,913,2392,117,2.619934282584885,7.615133622162893
USA,CHN,2011,3,1677,4271,117,2.5468097793679187,7.225137413212901
USA,PAK,2012,3,1764,4972,116,2.81859410430839,8.086947745015891
USA,LBY,2011,2,1556,4038,116,2.595115681233933,6.198688943384267
USA,SYR,2012,3,3088,8446,116,2.735103626943005,6.889646010260059
USA,MYS,2014,1,4864,12789,116,2.629317434210526,5.654575638328192
USA,UKR,2016,1,2775,7611,116,2.7427027027027027,8.91436244884653
USA,PHL,2016,3,1610,4494,116,2.791304347826087,8.700523914304643
USA,IRQ,2013,2,565,1852,116,3.2778761061946904,10.383717259900678
USA,EGY,2017,1,3195,10018,116,3.135524256651017,9.225592585102394
USA,POL,2016,3,212,631,116,2.9764150943396226,10.643931603432014
USA,LKA,2012,3,116,512,116,4.413793103448276,15.814725644992604
USA,GBR,2016,2,1225,2390,115,1.9510204081632654,6.1360568617686155
USA,SYR,2011,3,2953,8116,115,2.7483914663054523,6.061117550015287
USA,CHN,2017,2,977,2391,115,2.4472876151484133,8.111261102462166
USA,PSE,2011,2,277,508,115,1.8339350180505416,7.150646319939443
USA,AUS,2016,3,647,1403,115,2.1684698608964452,8.049252103130817
USA,ESP,2015,3,143,487,115,3.4055944055944054,14.285932094412521
USA,DEU,2015,3,421,838,115,1.990498812351544,6.512252553611724
USA,KEN,2016,1,2053,4640,114,2.260107160253288,6.812266154808522
USA,BEL,2017,3,136,1298,114,9.544117647058824,26.05375288160395
USA,AFG,2015,4,1085,2672,114,2.4626728110599077,6.747265282353294
USA,SEA,2016,2,119,600,114,5.042016806722689,17.87925365199167
USA,SYR,2014,1,9315,20780,114,2.2308105206655933,5.515470632317763
USA,IRQ,2014,2,4610,11155,114,2.4197396963123645,6.0347371473987055
USA,KEN,2016,4,304,1018,114,3.348684210526316,11.632865623715412
USA,ISL,2011,1,182,1038,114,5.7032967032967035,18.221773452266792
USA,YEM,2017,4,762,3166,113,4.15485564304462,12.00458339068309
USA,ALB,2016,2,49,429,113,8.755102040816327,21.26375105299009
USA,SDN,2017,4,392,876,113,2.2346938775510203,8.299139967654758
USA,SOM,2017,4,433,1265,113,2.9214780600461894,10.678739939673143
USA,NLD,2017,1,432,1601,113,3.7060185185185186,12.610869280831425
USA,PHL,2011,1,1477,2947,113,1.995260663507109,5.8389036600766255
USA,CUB,2010,1,1060,2429,113,2.2915094339622644,6.525530856585602
USA,POL,2016,4,228,1128,112,4.947368421052632,15.226247975306267
