Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
ISR,PAK,2016,1,61,166,58,2.721311475409836,8.228266620905003
ISR,SYR,2013,1,875,1628,57,1.8605714285714285,3.2173353590640628
ISR,SEN,2016,2,9,65,56,7.222222222222222,18.294656171801766
ISR,GBR,2015,3,181,323,56,1.7845303867403315,4.337559916385959
ISR,GIN,2016,1,59,617,56,10.457627118644067,17.241011685151417
ISR,PSE,2015,2,657,1122,56,1.7077625570776256,3.761140040858563
ISR,SWE,2014,1,248,440,56,1.7741935483870968,3.994609139954853
ISR,KAZ,2016,1,328,539,56,1.6432926829268293,4.206906089973313
ISR,SWE,2014,2,20,89,56,4.45,12.262372913660888
ISR,IRN,2017,4,116,417,55,3.5948275862068964,10.556661567383689
ISR,ITA,2014,1,608,1703,55,2.8009868421052633,6.435450546483531
ISR,TUR,2015,1,466,744,54,1.5965665236051503,2.9918004456042495
ISR,EGY,2012,4,172,355,54,2.063953488372093,4.553962680061317
ISR,CUB,2016,1,45,374,54,8.311111111111112,17.82595429323901
ISR,QAT,2012,3,15,183,53,12.2,21.176806720021386
ISR,SYR,2015,2,85,221,53,2.6,7.143428548573257
ISR,DEU,2017,1,651,1264,53,1.9416282642089093,5.271663271906616
ISR,USA,2012,4,315,687,53,2.1809523809523808,5.098609062941194
ISR,ITA,2017,1,131,254,52,1.9389312977099236,4.732466790798739
ISR,GRC,2015,1,395,655,52,1.6582278481012658,4.4695418062823595
ISR,HND,2012,1,38,533,52,14.026315789473685,18.035231050161705
ISR,CHN,2017,1,607,1123,52,1.8500823723228994,3.7801281466485763
ISR,ITA,2012,4,20,83,51,4.15,11.09895680256767
ISR,IRN,2011,1,748,1362,51,1.820855614973262,3.850623596015063
ISR,FRA,2015,3,268,544,51,2.029850746268657,4.074108065816001
ISR,CHN,2012,1,318,617,51,1.940251572327044,4.604847528062248
ISR,PSE,2012,3,992,2012,50,2.028225806451613,4.648623124105574
ISR,QAT,2014,1,384,1153,50,3.0026041666666665,5.092614166533059
ISR,UGA,2016,3,18,103,50,5.722222222222222,12.241710547312538
ISR,RUS,2012,3,38,123,50,3.236842105263158,8.055329645900606
ISR,TUR,2012,1,352,777,50,2.2073863636363638,5.667385775250479
ISR,IND,2012,3,77,175,50,2.272727272727273,5.888517737794915
ISR,QAT,2014,2,21,70,50,3.3333333333333335,10.692676621563626
ISR,CAN,2014,3,91,184,49,2.021978021978022,5.242938154165132
ISR,CAN,2016,1,202,509,49,2.51980198019802,6.639404753664376
ISR,BEL,2016,2,12,66,49,5.5,13.774152341515348
ISR,CAN,2014,1,247,394,49,1.5951417004048583,4.337168801366474
ISR,SYR,2016,1,637,918,48,1.4411302982731553,2.1686163408091796
ISR,DEU,2015,4,63,243,48,3.857142857142857,8.54373406099869
ISR,ESP,2012,4,28,206,47,7.357142857142857,13.80341955945669
ISR,EGY,2016,1,1753,2721,47,1.5521962350256704,2.2884804389508555
ISR,SYR,2012,1,482,782,47,1.6224066390041494,3.6905447564517777
ISR,CAN,2012,1,622,1202,47,1.932475884244373,3.936117083199407
ISR,DEU,2012,1,813,1634,47,2.009840098400984,3.965044505433075
ISR,USA,2010,3,621,1075,47,1.7310789049919484,3.158728352015804
ISR,ARG,2017,4,67,145,46,2.1641791044776117,5.735580113655708
ISR,CYP,2012,1,393,687,46,1.748091603053435,3.4241269812061894
ISR,PSE,2013,1,6588,13285,46,2.0165452337583485,3.3610526250974875
ISR,KEN,2016,3,16,65,46,4.0625,11.209928634920029
ISR,PSE,2011,4,646,1163,46,1.8003095975232197,3.247238525814765
ISR,SYR,2011,3,77,227,46,2.948051948051948,7.007319676588008
ISR,GRC,2016,2,27,261,45,9.666666666666666,15.58352186914607
ISR,CYP,2016,2,24,259,45,10.791666666666666,16.20783269224205
ISR,ITA,2016,2,30,268,45,8.933333333333334,14.929566437877174
ISR,HRV,2016,2,20,254,45,12.7,17.17433826197802
ISR,TUR,2016,2,108,351,45,3.25,8.541405474313668
ISR,GRC,2011,1,211,474,45,2.2464454976303316,4.971913895225777
ISR,TUN,2016,1,47,437,45,9.297872340425531,14.621180130828405
ISR,TUR,2011,1,1005,1572,44,1.5641791044776119,2.7308023221154825
ISR,PSE,2013,3,939,1638,44,1.744408945686901,3.2353751882439434
ISR,TUR,2011,4,165,271,44,1.6424242424242423,3.5953077739816135
ISR,USA,2013,4,227,361,44,1.5903083700440528,3.1050192583545497
ISR,ARG,2017,1,268,605,43,2.2574626865671643,4.094956738658711
ISR,AZE,2016,1,502,768,43,1.5298804780876494,3.2791154887987104
ISR,EGY,2014,1,1644,3698,43,2.2493917274939172,4.068774955175794
ISR,IRN,2011,3,432,852,43,1.9722222222222223,3.9526391860615715
ISR,GBR,2014,3,188,307,42,1.6329787234042554,3.3588223139135063
ISR,PAK,2017,3,18,61,42,3.388888888888889,9.641447834213972
ISR,IRN,2009,1,943,1369,42,1.4517497348886532,2.200066253812599
ISR,ARG,2012,4,38,109,42,2.8684210526315788,7.230457548348078
ISR,IRN,2009,4,167,369,42,2.2095808383233533,4.375220938076159
ISR,ARG,2015,1,76,285,41,3.75,7.196526940128828
ISR,RUS,2009,1,1154,1893,41,1.6403812824956672,2.873414677697069
ISR,JOR,2012,1,393,530,41,1.3486005089058524,2.217303088305229
ISR,PSE,2010,2,262,379,41,1.4465648854961832,2.6900924426829405
ISR,NZL,2011,1,97,194,41,2.0,5.7282196186948
ISR,JOR,2016,1,543,1096,41,2.0184162062615103,4.688412314749503
ISR,PSE,2013,4,564,890,41,1.5780141843971631,2.649296087980311
ISR,IRN,2013,1,1938,3018,41,1.5572755417956656,2.2714749750190246
ISR,JPN,2012,1,68,182,40,2.676470588235294,6.922688582341204
ISR,ITA,2015,1,349,677,40,1.9398280802292263,4.407978786456771
ISR,JOR,2011,1,398,779,40,1.9572864321608041,3.991891614678674
ISR,EUR,2012,3,112,227,40,2.0267857142857144,4.140461351820615
ISR,TUR,2017,3,76,304,40,4.0,8.489994110716449
ISR,USA,2011,4,316,596,39,1.8860759493670887,3.4512011868780714
ISR,IRN,2017,2,79,204,39,2.5822784810126582,6.163597839874896
ISR,JPN,2017,1,149,267,39,1.7919463087248322,4.525117838969194
ISR,GBR,2011,1,490,743,39,1.5163265306122449,2.998421325515639
ISR,MEX,2017,3,100,221,39,2.21,4.4660221154125
ISR,SYR,2016,2,130,310,38,2.3846153846153846,4.592519389947997
ISR,EGY,2014,3,189,534,38,2.8253968253968256,4.923477243388058
ISR,USA,2015,4,576,1055,38,1.8315972222222223,3.1331786694791637
ISR,SYR,2015,1,488,772,38,1.5819672131147542,2.8561405125202732
ISR,NZL,2017,1,118,447,38,3.788135593220339,6.364769075399887
ISR,SYR,2012,2,52,150,37,2.8846153846153846,7.234595117616265
ISR,GBR,2013,1,446,1206,37,2.704035874439462,5.262317329382052
ISR,SAU,2014,1,341,704,37,2.064516129032258,3.5332790324375205
ISR,TUR,2013,3,104,147,36,1.4134615384615385,3.446147636490191
ISR,FRA,2012,1,775,1823,36,2.352258064516129,4.148850833762308
ISR,TUR,2013,1,717,949,36,1.3235704323570432,1.6405015497606188
ISR,PSE,2013,2,632,1261,36,1.995253164556962,3.464784522882458
ISR,TUR,2014,1,492,825,36,1.6768292682926829,2.8583731481901333
ISR,VAT,2014,1,290,673,36,2.320689655172414,3.8533568981242428
ISR,USA,2012,3,824,1335,36,1.6201456310679612,2.5333991550656463
ISR,JOR,2013,1,955,1739,36,1.8209424083769634,2.881005013292554
ISR,SYR,2015,4,99,212,35,2.1414141414141414,4.398538952717537
ISR,LBN,2017,1,224,470,35,2.0982142857142856,3.975169165091651
ISR,EGY,2009,1,2972,4689,35,1.5777254374158816,2.128096209825966
ISR,TUN,2012,1,39,113,35,2.8974358974358974,5.702238119208207
ISR,SYR,2013,3,240,405,35,1.6875,3.5094388565504473
ISR,ESP,2015,1,152,373,35,2.4539473684210527,5.400317400273954
ISR,AFR,2012,3,78,130,35,1.6666666666666667,3.8969407470664965
ISR,GBR,2009,1,921,1340,35,1.4549402823018458,1.9151512659395666
ISR,KEN,2011,1,46,157,35,3.4130434782608696,8.122878764347641
ISR,IRN,2013,3,1301,2483,35,1.908531898539585,3.1008826653968433
ISR,RUS,2015,2,39,138,35,3.5384615384615383,7.137175299448707
ISR,PSE,2009,3,1513,2246,34,1.4844679444811633,1.9632680138255838
ISR,USA,2012,2,233,403,34,1.7296137339055795,2.9228334632003365
ISR,TUR,2009,4,168,485,34,2.886904761904762,6.73575284656712
ISR,ARG,2013,3,25,162,34,6.48,9.870494752881775
ISR,GBR,2010,4,205,374,34,1.824390243902439,3.4240198603141776
ISR,JPN,2015,1,160,221,34,1.38125,2.733145894017994
ISR,RUS,2015,3,122,413,34,3.3852459016393444,6.378484912088718
ISR,SWE,2009,4,21,121,34,5.761904761904762,9.68970980940483
ISR,FRA,2009,1,1432,2514,34,1.755586592178771,2.6398620481584216
ISR,CZE,2014,2,46,184,34,4.0,8.192137151629671
ISR,SYR,2009,3,81,191,33,2.3580246913580245,5.1631110824175295
ISR,CHN,2011,1,218,350,33,1.6055045871559632,3.202874137335122
