Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
AFG,CAN,2012,4,30,168,114,5.6,20.550358667899456
AFG,WST,2014,1,482,1660,113,3.4439834024896268,10.452047472415549
AFG,USA,2010,1,2863,5714,110,1.9958085923856095,4.513275305619488
AFG,SAU,2015,1,472,1156,109,2.4491525423728815,8.878847171421203
AFG,USA,2013,1,5294,12851,107,2.427465054778995,6.629512341812106
AFG,USA,2013,2,444,862,107,1.9414414414414414,5.628145466657234
AFG,IRQ,2017,1,108,386,107,3.574074074074074,14.05742807847074
AFG,WST,2014,3,73,426,102,5.835616438356165,15.789424817676522
AFG,CHN,2016,1,906,1609,101,1.7759381898454747,6.409550492555408
AFG,PAK,2017,2,288,1152,101,4.0,12.581995875418938
AFG,NOR,2012,1,62,480,99,7.741935483870968,19.095905907340423
AFG,PAK,2011,1,2685,4767,99,1.7754189944134078,4.811405106202119
AFG,PAK,2015,4,497,1077,93,2.1670020120724347,6.100822728923862
AFG,PAK,2015,3,879,1781,93,2.026166097838453,5.263057109360414
AFG,PAK,2017,4,480,1266,92,2.6375,7.416469428855219
AFG,USA,2011,3,574,1671,92,2.9111498257839723,8.249646313336081
AFG,FRA,2012,1,480,1748,91,3.6416666666666666,9.841793065524536
AFG,WST,2017,1,213,554,91,2.60093896713615,8.795120809720476
AFG,NOR,2012,4,42,220,90,5.238095238095238,14.696622349319362
AFG,USA,2015,3,258,711,89,2.755813953488372,9.52890672336989
AFG,IND,2016,1,767,1428,89,1.861799217731421,4.953748312748319
AFG,USA,2017,4,188,530,88,2.8191489361702127,9.193653665492022
AFG,USA,2015,4,278,819,87,2.946043165467626,8.104504841590993
AFG,USA,2011,2,385,1345,87,3.4935064935064934,7.76447468278229
AFG,IRN,2016,1,1131,1874,87,1.6569407603890363,3.6228005857482932
AFG,EGY,2016,4,5,192,85,38.4,32.21490338337211
AFG,DEU,2016,1,154,932,83,6.0519480519480515,17.377316823121458
AFG,PAK,2017,3,959,2130,83,2.221063607924922,5.794239320736648
AFG,PAK,2010,1,1845,3765,82,2.040650406504065,6.262425878584754
AFG,CHN,2015,1,903,1419,82,1.5714285714285714,4.03327936221679
AFG,USA,2012,4,836,2560,80,3.062200956937799,6.682963015829522
AFG,GBR,2012,1,505,1306,79,2.586138613861386,6.504043762039569
AFG,RUS,2017,1,681,1124,78,1.6505139500734214,5.293284080144758
AFG,PAK,2012,3,480,1089,78,2.26875,6.202621045075222
AFG,USA,2017,3,278,868,77,3.1223021582733814,7.544295601643487
AFG,TKM,2015,1,487,1549,77,3.1806981519507187,8.687545903911452
AFG,PAK,2011,3,709,1783,77,2.5148095909732016,6.000834981836271
AFG,AUS,2015,1,27,191,76,7.074074074074074,19.0786346994302
AFG,PAK,2012,1,2686,7173,75,2.6705137751303054,6.7733568497019405
AFG,GBR,2015,1,282,748,74,2.652482269503546,6.988028212621659
AFG,GBR,2010,1,845,1831,74,2.1668639053254437,5.606938849097845
AFG,SAU,2016,1,459,938,73,2.0435729847494555,6.0844006533683865
AFG,ARE,2013,1,108,727,69,6.731481481481482,15.331603473688594
AFG,USA,2014,4,418,1080,69,2.583732057416268,6.403230857531624
AFG,DEU,2016,2,11,171,69,15.545454545454545,26.714653792866702
AFG,USA,2016,3,306,999,66,3.264705882352941,7.581158444184778
AFG,ESP,2015,1,15,82,66,5.466666666666667,16.74969793615338
AFG,EUR,2017,1,80,223,65,2.7875,10.048860065081758
AFG,ESP,2015,4,54,232,65,4.296296296296297,10.816879942207777
AFG,WST,2015,2,36,204,65,5.666666666666667,12.462515224234863
AFG,SAU,2017,3,25,123,64,4.92,13.066879249971407
AFG,GBR,2014,1,462,1025,64,2.2186147186147185,5.128060678246981
AFG,USA,2012,3,771,1579,63,2.04798962386511,4.358485436913642
AFG,USA,2010,2,341,1044,62,3.06158357771261,7.713568401518589
AFG,QAT,2017,1,143,542,61,3.7902097902097904,9.781308091653546
AFG,WST,2016,2,29,130,61,4.482758620689655,11.852126661656165
AFG,CAN,2011,2,103,430,59,4.174757281553398,10.86767755234239
AFG,JPN,2016,1,82,194,58,2.3658536585365852,6.665763263089557
AFG,DEU,2016,4,192,766,58,3.9895833333333335,10.2696572246275
AFG,NPL,2016,4,25,186,57,7.44,15.803691551870616
AFG,WST,2013,4,83,277,57,3.3373493975903616,7.220021465466597
AFG,PAK,2010,2,224,588,57,2.625,6.070032247016536
AFG,SAU,2014,1,1138,2532,57,2.224956063268893,3.7618661567574705
AFG,WST,2014,4,40,271,57,6.775,13.269373837950381
AFG,PAK,2011,4,325,664,57,2.043076923076923,5.432355320713505
AFG,WST,2012,3,206,529,57,2.5679611650485437,6.088192708597608
AFG,USA,2009,1,4553,8148,56,1.789589281792225,2.7070023487539236
AFG,USA,2009,3,743,1275,56,1.7160161507402423,2.97995988680427
AFG,WST,2012,1,591,2014,56,3.4077834179357023,7.159055448098228
AFG,GBR,2010,3,78,229,55,2.9358974358974357,8.631473281099293
AFG,GBR,2011,2,27,134,54,4.962962962962963,13.993079282497753
AFG,TJK,2010,1,226,464,54,2.0530973451327434,6.0484572254633315
AFG,GBR,2014,4,54,280,53,5.185185185185185,13.564763000070373
AFG,WST,2010,2,114,278,53,2.43859649122807,5.728418657327335
AFG,PAK,2016,4,602,1156,52,1.920265780730897,4.139451995665342
AFG,USA,2012,2,577,1754,52,3.0398613518197575,6.728629130866356
