ECount,Target,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
4,TUR,0.5773502692,6,BRA,2007,1.5,2
4,IRN,0.5773502692,6,BRA,2007,1.5,2
6,HND,0.5477225575,9,BRA,2014,1.5,2
2,SAU,0.7071067812,3,BRA,2001,1.5,1
2,EST,0.7071067812,3,BRA,2009,1.5,1
2,THA,0.7071067812,3,BRA,1998,1.5,2
4,JPN,0.5773502692,6,BRA,2003,1.5,4
26,MWI,0.9486832981,39,BRA,2012,1.5,1
2,IDN,0.7071067812,3,BRA,2007,1.5,4
8,GAB,0.5345224838,12,BRA,2008,1.5,1
8,FRA,0.5345224838,12,BRA,1998,1.5,2
52,HND,1.7433346455,78,BRA,2013,1.5,1
4,CMR,0.5773502692,6,BRA,2011,1.5,4
8,KOR,0.9258200998,12,BRA,2011,1.5,2
12,MCO,0.5222329679,18,BRA,2007,1.5,1
18,NLD,0.5144957554,27,BRA,1999,1.5,1
4,MCO,0.5773502692,6,BRA,2007,1.5,2
4,MAC,0.5773502692,6,BRA,2013,1.5,1
4,SAS,0.5773502692,6,BRA,2011,1.5,1
2,KHM,0.7071067812,3,BRA,2011,1.5,4
2,DEU,0.7071067812,3,BRA,1999,1.5,4
4,TZA,0.5773502692,6,BRA,2013,1.5,4
2,SAU,0.7071067812,3,BRA,1999,1.5,3
2,GTM,0.7071067812,3,BRA,2012,1.5,2
2,EGY,0.7071067812,3,BRA,2009,1.5,3
8,BWA,0.5345224838,12,BRA,2001,1.5,1
6,BEL,1.2247448714,9,BRA,2008,1.5,2
4,CHE,1,6,BRA,2007,1.5,3
4,NZL,0.5773502692,6,BRA,2001,1.5,3
4,CIV,0.5773502692,6,BRA,2004,1.5,1
2,TUN,0.7071067812,3,BRA,2014,1.5,4
16,NGA,0.894427191,24,BRA,2009,1.5,2
20,CIV,0.512989176,30,BRA,2006,1.5,1
4,ERI,0.5773502692,6,BRA,2010,1.5,1
2,CHN,0.7071067812,3,BRA,2001,1.5,4
2,TWN,0.7071067812,3,BRA,2013,1.5,4
4,TCD,0.5773502692,6,BRA,2006,1.5,3
2,MDV,0.7071067812,3,BRA,2007,1.5,2
4,CHE,0.5773502692,6,BRA,2004,1.5,4
4,SRB,0.5773502692,6,BRA,1999,1.5,1
20,LUX,0.512989176,30,BRA,2006,1.5,1
12,SAU,0.7977240352,18,BRA,2010,1.5,4
6,DOM,0.5477225575,9,BRA,2013,1.5,2
2,ZMB,0.7071067812,3,BRA,2011,1.5,3
20,MDG,0.512989176,30,BRA,2006,1.5,1
8,SWE,0.9258200998,12,BRA,2011,1.5,4
20,MUS,0.512989176,30,BRA,2006,1.5,1
4,EAF,0.5773502692,6,BRA,2011,1.5,1
4,BWA,0.5773502692,6,BRA,2008,1.5,2
4,KEN,0.5773502692,6,BRA,2014,1.5,4
4,SWE,0.5773502692,6,BRA,1999,1.5,2
12,NOR,0.9045340337,18,BRA,2008,1.5,3
8,HRV,0.5345224838,12,BRA,2007,1.5,1
2,PRK,0.7071067812,3,BRA,2001,1.5,4
36,UGA,0.6969320524,54,BRA,2009,1.5,1
6,QAT,0.5477225575,9,BRA,2006,1.5,2
2,BLR,0.7071067812,3,BRA,2007,1.5,2
2,LCA,0.7071067812,3,BRA,2009,1.5,2
4,AUT,1,6,BRA,2010,1.5,4
12,IRL,0.9045340337,18,BRA,2007,1.5,4
8,SSD,0.5345224838,12,BRA,2014,1.5,2
446,AGO,2.9541430659,668,BRA,2012,1.4977578475,1
191,ITA,1.6602927629,286,BRA,2011,1.497382199,2
747,AFR,2.0268713895,1116,BRA,2009,1.4939759036,1
83,ESP,1.3913802059,124,BRA,2014,1.4939759036,3
338,GBR,1.4962598007,504,BRA,2013,1.4911242604,2
55,GTM,1.5137973747,82,BRA,2013,1.4909090909,1
161,MEX,1.0495118652,240,BRA,2013,1.4906832298,3
37,BOL,1.3254270092,55,BRA,2012,1.4864864865,3
175,LBN,2.019608312,260,BRA,2011,1.4857142857,1
66,MAR,1.2918969266,98,BRA,2014,1.4848484848,1
320,GBR,1.8141915952,475,BRA,2009,1.484375,4
62,COL,1.1270436517,92,BRA,2012,1.4838709677,2
147,ITA,1.2406016078,218,BRA,2010,1.4829931973,3
58,PRT,1.1734097759,86,BRA,2010,1.4827586207,4
114,THA,3.046054916,169,BRA,2011,1.4824561404,1
110,NOR,1.980324402,163,BRA,2009,1.4818181818,1
50,NLD,0.9527618286,74,BRA,2013,1.48,2
100,MEX,1.1413265364,148,BRA,2011,1.48,3
892,CHL,1.7842800191,1320,BRA,2013,1.4798206278,1
140,ESP,1.294525591,207,BRA,2013,1.4785714286,4
21,PER,1.3273676062,31,BRA,2012,1.4761904762,3
21,GIN,1.5690458126,31,BRA,2014,1.4761904762,4
21,NGA,1.2090925365,31,BRA,2014,1.4761904762,3
1157,MEX,1.6361370999,1707,BRA,2012,1.4753673293,1
664,PRT,1.7077200488,978,BRA,2011,1.4728915663,1
324,EGY,2.3975929622,477,BRA,2013,1.4722222222,1
53,CPV,1.1198175261,78,BRA,2013,1.4716981132,1
140,GBR,1.4614610662,206,BRA,2010,1.4714285714,2
291,SYR,1.5586264048,428,BRA,2011,1.470790378,1
34,WST,1.051270346,50,BRA,2013,1.4705882353,1
83,CUB,1.0630988917,122,BRA,2012,1.4698795181,3
32,NGA,0.7613390157,47,BRA,2014,1.46875,4
491,PRY,1.8660559152,721,BRA,2011,1.4684317719,1
15,DEU,1.0600988274,22,BRA,2008,1.4666666667,3
426,PSE,1.5091655902,624,BRA,2009,1.4647887324,1
205,ECU,1.8903464899,300,BRA,2013,1.4634146341,1
199,ECU,1.6688884232,291,BRA,2011,1.4623115578,1
26,NIC,0.5083911274,38,BRA,2006,1.4615384615,1
13,VEN,0.6602252918,19,BRA,2010,1.4615384615,4
182,VEN,2.4531305619,266,BRA,2009,1.4615384615,3
13,IRQ,0.8770580193,19,BRA,2006,1.4615384615,3
26,MRT,0.5083911274,38,BRA,2013,1.4615384615,1
