ECount,Target,MaxSources,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
33,PSE,9,2.476403795340283,71,ZAF,2013,2.1515151515151514,3
53,SYR,29,5.282031319683651,114,ZAF,2012,2.150943396226415,4
21,JOR,6,1.9566735620873066,45,ZAF,2009,2.142857142857143,1
7,SLB,5,1.3451854182690985,15,ZAF,2009,2.142857142857143,4
72,SWE,25,3.2018370607169073,153,ZAF,2011,2.125,1
8,BHR,4,1.5526475085202969,17,ZAF,2011,2.125,3
8,UGA,9,2.7998724460742337,17,ZAF,2009,2.125,4
53,PAK,9,2.3911726875072,112,ZAF,2010,2.1132075471698113,3
36,TUR,10,2.8463287409551445,76,ZAF,2010,2.111111111111111,1
9,AFG,11,3.3333333333333335,19,ZAF,2010,2.111111111111111,3
47,RWA,14,2.4515659818128985,99,ZAF,2010,2.106382978723404,3
39,MOZ,10,2.760576520592372,82,ZAF,2010,2.1025641025641026,4
50,RUS,17,3.22774957934143,105,ZAF,2009,2.1,2
1200,GBR,71,5.963972958531695,2519,ZAF,2011,2.0991666666666666,1
365,ETH,34,4.3354036516940475,765,ZAF,2012,2.095890410958904,1
121,AFG,25,3.4253953543107003,253,ZAF,2009,2.090909090909091,1
11,NLD,5,1.868397465987655,23,ZAF,2010,2.090909090909091,2
11,NLD,11,2.9817627489304193,23,ZAF,2013,2.090909090909091,3
23,ISR,26,5.212860351426868,48,ZAF,2011,2.0869565217391304,2
76,FIN,9,2.2789656009967145,158,ZAF,2008,2.0789473684210527,4
422,USA,40,4.3094755761352825,868,ZAF,2012,2.056872037914692,2
132,NOR,19,3.3276872145001852,271,ZAF,2011,2.053030303030303,1
57,SAF,8,2.437951808907713,117,ZAF,2010,2.0526315789473686,1
740,PAK,34,3.3146147856525614,1517,ZAF,2009,2.05,1
41,ARG,10,2.7290219815182426,84,ZAF,2010,2.048780487804878,1
42,MMR,9,2.357679522196441,86,ZAF,2009,2.0476190476190474,3
25,MDV,24,4.586937976471886,51,ZAF,2012,2.04,1
27,RUS,5,1.5561659364130875,55,ZAF,2012,2.037037037037037,4
30,TUN,6,1.2726115785600325,61,ZAF,2011,2.033333333333333,1
656,USA,53,4.451246062616725,1320,ZAF,2012,2.0121951219512195,4
2,VNM,3,1.4142135623730951,4,ZAF,2011,2.0,2
1,DOM,2,,2,ZAF,2009,2.0,1
1,LAO,2,,2,ZAF,2011,2.0,3
12,AUT,7,2.335496832484569,24,ZAF,2012,2.0,1
2,DJI,2,0.0,4,ZAF,2009,2.0,2
10,NOR,6,1.5634719199411433,20,ZAF,2011,2.0,3
1,FSM,2,,2,ZAF,2006,2.0,2
2,SYC,2,0.0,4,ZAF,1998,2.0,1
1,TGO,2,,2,ZAF,2003,2.0,1
2,CHL,2,0.0,4,ZAF,2014,2.0,2
1,MUS,2,,2,ZAF,2011,2.0,2
2,COG,3,1.4142135623730951,4,ZAF,2008,2.0,3
1,AUT,2,,2,ZAF,2007,2.0,2
1,ISL,2,,2,ZAF,2014,2.0,1
2,DNK,2,0.0,4,ZAF,2005,2.0,4
1,HRV,2,,2,ZAF,1998,2.0,2
1,MEX,2,,2,ZAF,1998,2.0,4
5,LSO,6,2.23606797749979,10,ZAF,2013,2.0,2
2,LVA,2,0.0,4,ZAF,2010,2.0,1
1,MLT,2,,2,ZAF,2001,2.0,2
2,MNG,2,0.0,4,ZAF,2010,2.0,1
2,URY,2,0.0,4,ZAF,2012,2.0,2
1,COM,2,,2,ZAF,2001,2.0,3
3,TUR,2,0.0,6,ZAF,2004,2.0,2
2,NPL,2,0.0,4,ZAF,2008,2.0,1
1,MLT,2,,2,ZAF,2001,2.0,4
1,ARE,2,,2,ZAF,1999,2.0,3
2,VEN,2,0.0,4,ZAF,1997,2.0,2
4,NPL,2,0.0,8,ZAF,2002,2.0,1
2,BTN,2,0.0,4,ZAF,2002,2.0,1
2,ERI,2,0.0,4,ZAF,2002,2.0,1
2,LBN,3,1.4142135623730951,4,ZAF,2012,2.0,3
1,FIN,2,,2,ZAF,2009,2.0,4
2,TON,3,1.4142135623730951,4,ZAF,2012,2.0,4
3,LBN,3,1.0,6,ZAF,2014,2.0,2
1,GHA,2,,2,ZAF,2003,2.0,4
3,EGY,2,0.0,6,ZAF,2003,2.0,2
1,PRT,2,,2,ZAF,2001,2.0,2
2,THA,2,0.0,4,ZAF,2003,2.0,4
12,SLE,6,1.9069251784911847,24,ZAF,2012,2.0,1
2,BOL,2,0.0,4,ZAF,2010,2.0,3
1,AFG,2,,2,ZAF,2002,2.0,2
1,MCO,2,,2,ZAF,2008,2.0,3
2,MHL,3,1.4142135623730951,4,ZAF,2009,2.0,2
1,EUR,2,,2,ZAF,2002,2.0,4
1,SVK,2,,2,ZAF,2002,2.0,3
2,YEM,3,1.4142135623730951,4,ZAF,2014,2.0,3
14,TON,4,1.3587324409735144,28,ZAF,2014,2.0,1
2,COG,3,1.4142135623730951,4,ZAF,2004,2.0,2
21,JOR,10,2.6832815729997477,42,ZAF,2012,2.0,1
6,BWA,3,1.0954451150103324,12,ZAF,2002,2.0,4
2,EGY,2,0.0,4,ZAF,2002,2.0,2
2,SYC,2,0.0,4,ZAF,2003,2.0,4
1,SEA,2,,2,ZAF,2001,2.0,3
4,SYC,2,0.0,8,ZAF,2001,2.0,1
1,NMR,2,,2,ZAF,2001,2.0,3
2,TTO,2,0.0,4,ZAF,2008,2.0,1
1,BEN,2,,2,ZAF,2013,2.0,4
1,PNG,2,,2,ZAF,2002,2.0,1
4,CRB,3,1.1547005383792515,8,ZAF,2010,2.0,1
2,TCD,2,0.0,4,ZAF,2012,2.0,2
41,SLE,12,2.5,82,ZAF,2011,2.0,1
1,GRD,2,,2,ZAF,2009,2.0,2
1,TUR,2,,2,ZAF,2005,2.0,4
2,MUS,3,1.4142135623730951,4,ZAF,2009,2.0,2
2,GNQ,2,0.0,4,ZAF,1999,2.0,1
11,CRI,7,2.23606797749979,22,ZAF,2009,2.0,3
4,CUB,3,1.1547005383792515,8,ZAF,2004,2.0,2
1,MDA,2,,2,ZAF,2000,2.0,1
4,LBN,4,1.4142135623730951,8,ZAF,2009,2.0,2
5,LBN,5,1.7320508075688774,10,ZAF,2010,2.0,3
6,CHE,3,1.0954451150103321,12,ZAF,2011,2.0,3
2,QAT,2,0.0,4,ZAF,2006,2.0,3
1,IND,2,,2,ZAF,1998,2.0,3
3,LBY,2,0.0,6,ZAF,2005,2.0,2
6,DZA,4,1.5491933384829668,12,ZAF,2010,2.0,4
1,ATG,2,,2,ZAF,2004,2.0,1
3,BGR,2,0.0,6,ZAF,2013,2.0,3
2,PRK,2,0.0,4,ZAF,2014,2.0,3
1,URY,2,,2,ZAF,2011,2.0,2
1,KNA,2,,2,ZAF,2013,2.0,4
1,WST,2,,2,ZAF,2010,2.0,3
1,PHL,2,,2,ZAF,2010,2.0,2
2,DJI,2,0.0,4,ZAF,2011,2.0,2
3,GNQ,2,0.0,6,ZAF,2014,2.0,2
