ECount,Target,StdDevSources,NSources,Source,Year,AvgSources,QuadClass
561,FRA,5.408655904770218,1069,CHN,2012,1.9055258467023173,2
1504,SYR,3.603927368209995,2865,CHN,2011,1.9049202127659575,1
21,MUS,1.9210612146613628,40,CHN,2009,1.9047619047619047,2
63,LBN,2.5697639261116376,120,CHN,2014,1.9047619047619047,3
1312,PRK,3.7600707084352667,2499,CHN,2013,1.9047256097560976,2
52,BEL,3.2191803571632485,99,CHN,2012,1.9038461538461537,4
9304,KOR,3.9105750008189664,17688,CHN,2012,1.9011177987962167,1
1404,TUR,5.652445076501426,2668,CHN,2011,1.9002849002849003,1
1037,PAK,3.6446355979844864,1970,CHN,2011,1.8997107039537127,3
48,LBN,3.15715724093236,91,CHN,2011,1.8958333333333333,4
48,SSD,2.136208446014268,91,CHN,2014,1.8958333333333333,3
57,CAF,1.144618004375193,108,CHN,2009,1.894736842105263,1
19,CZE,1.6631541934965108,36,CHN,2012,1.894736842105263,3
3504,MMR,4.114910496653035,6636,CHN,2011,1.893835616438356,1
253,BRN,3.1477512669797814,478,CHN,2012,1.8893280632411067,2
9,SEN,1.7638342073763935,17,CHN,2009,1.8888888888888888,4
1881,CAN,3.956500926081998,3551,CHN,2012,1.8878256246677299,2
160,SEA,3.1602633040529065,302,CHN,2012,1.8875,4
80,BEL,2.418252062539115,151,CHN,2014,1.8875,3
71,LAO,2.4351550010780945,134,CHN,2014,1.8873239436619718,4
656,PRK,3.719235188735285,1237,CHN,2011,1.8856707317073171,4
7173,AUS,3.17602394559742,13520,CHN,2012,1.8848459500906176,1
78,MLI,1.5202594552209867,147,CHN,2011,1.8846153846153846,1
17,GTM,0.8574929257125443,32,CHN,1999,1.8823529411764706,3
2107,GBR,2.5061722289244464,3965,CHN,2009,1.8818224964404366,3
1344,KOR,3.4001525538774593,2526,CHN,2012,1.8794642857142858,3
162,NOR,1.8642282538877473,304,CHN,2009,1.876543209876543,1
501,AFR,3.2410885039780637,940,CHN,2011,1.87624750499002,3
1253,IRN,3.197015607801145,2350,CHN,2010,1.8754988028731046,3
8,CAS,0.9910312089651149,15,CHN,2009,1.875,2
8,CIV,1.2464234547582247,15,CHN,2014,1.875,3
136,MEX,3.8556115910113062,255,CHN,2010,1.875,2
16,CIV,1.2041594578792296,30,CHN,2010,1.875,1
1574,PHL,3.6202741701336962,2951,CHN,2012,1.8748411689961881,2
2947,KHM,3.2546794732103366,5525,CHN,2012,1.8747879199185613,1
533,IND,5.1150898274955106,998,CHN,2012,1.872420262664165,3
78,NLD,3.8892424874526816,146,CHN,2013,1.8717948717948718,3
319,NMR,3.388720843397469,597,CHN,2013,1.871473354231975,1
154,SYR,4.403951432329566,288,CHN,2011,1.87012987012987,2
84,SLV,1.6988994446424164,157,CHN,2010,1.869047619047619,1
1969,BRN,3.641669524750725,3676,CHN,2012,1.866937531742001,1
7492,PRK,3.0852188743943043,13977,CHN,2014,1.865589962626802,1
119,DNK,3.4071817713244696,222,CHN,2010,1.865546218487395,3
3060,BRN,3.301000735869206,5705,CHN,2014,1.8643790849673203,1
457,SEA,2.9837236175581214,852,CHN,2013,1.864332603938731,3
272,EUR,5.433926129415411,507,CHN,2010,1.8639705882352942,4
22,HND,1.5521246435421703,41,CHN,2011,1.8636363636363635,1
22,COM,1.2457720706244992,41,CHN,2009,1.8636363636363635,1
3590,JPN,3.275384111509673,6687,CHN,2013,1.8626740947075209,4
5345,VNM,4.54834988719998,9955,CHN,2010,1.862488306828812,1
4073,TUR,4.668642804454911,7576,CHN,2012,1.8600540142401178,1
364,THA,4.9331214297068025,677,CHN,2012,1.85989010989011,4
12725,VNM,3.164539053454973,23663,CHN,2014,1.8595677799607073,1
15359,USA,3.454928650549804,28551,CHN,2013,1.8589100852920113,3
7,GNB,0.3779644730092272,13,CHN,2013,1.8571428571428572,4
21,TUN,1.424279266355945,39,CHN,2010,1.8571428571428572,4
7,SLB,0.3779644730092272,13,CHN,1997,1.8571428571428572,1
14,GNQ,1.4064216928154862,26,CHN,2009,1.8571428571428572,1
7,NOR,0.3779644730092273,13,CHN,1998,1.8571428571428572,2
14,BEN,0.8644378215075665,26,CHN,2009,1.8571428571428572,2
14,LBY,1.167320591199077,26,CHN,2007,1.8571428571428572,2
7,TCD,1.4638501094227998,13,CHN,2013,1.8571428571428572,3
138,CAS,2.6623921098394754,256,CHN,2009,1.855072463768116,1
1490,PHL,3.041176631131935,2763,CHN,2014,1.8543624161073826,2
6584,PHL,2.9175333878238408,12196,CHN,2014,1.8523693803159174,3
108,DNK,2.099465062329084,200,CHN,2014,1.8518518518518519,2
208,MEX,2.059946774431177,385,CHN,2011,1.8509615384615385,3
756,RUS,5.235400360834393,1399,CHN,2010,1.8505291005291005,4
20,CZE,1.0894228312566052,37,CHN,2011,1.85,4
40,UKR,2.4131052449234205,74,CHN,2013,1.85,4
53,BEN,1.1162476016873941,98,CHN,2009,1.849056603773585,1
1364,RUS,3.5799516677537957,2520,CHN,2012,1.847507331378299,4
600,DEU,2.2785540524285617,1108,CHN,2013,1.8466666666666667,3
384,DEU,5.0356263130915595,709,CHN,2011,1.8463541666666667,4
488,VEN,4.80406085937368,901,CHN,2012,1.846311475409836,1
735,FRA,3.250157659325029,1357,CHN,2011,1.8462585034013606,3
13,MDG,0.8006407690254356,24,CHN,2009,1.8461538461538463,4
58,CUB,1.7249635047035006,107,CHN,2014,1.8448275862068966,3
393,YEM,4.1709429165112475,725,CHN,2012,1.8447837150127226,1
6702,AUS,3.40467536362308,12358,CHN,2011,1.8439271859146524,1
26057,RUS,2.78454534464499,48047,CHN,2013,1.8439191004336646,1
1748,GBR,3.816510037711347,3223,CHN,2012,1.8438215102974829,2
531,UKR,2.8357643026003836,979,CHN,2014,1.8436911487758945,3
19,BDI,1.2139539573337679,35,CHN,2009,1.8421052631578947,1
19,BTN,1.5004872502970805,35,CHN,2013,1.8421052631578947,3
19,CIV,2.1924911730403043,35,CHN,2011,1.8421052631578947,4
16934,GBR,3.7323953053478953,31191,CHN,2014,1.8419156726113146,1
79453,USA,3.4924344693005223,146344,CHN,2014,1.8418939498823204,1
182,SYR,3.661339851423172,335,CHN,2014,1.8406593406593406,4
69,COL,2.27921031477879,127,CHN,2012,1.8405797101449275,4
25,NOR,2.9108990592827735,46,CHN,2013,1.84,4
25,COK,0.8504900548115384,46,CHN,2014,1.84,1
306,IND,3.128480275679479,563,CHN,2010,1.8398692810457515,4
517,ECU,2.8725090484187974,951,CHN,2009,1.8394584139264991,1
49,SLV,1.7835701413119673,90,CHN,2012,1.836734693877551,1
3865,PHL,4.520733026539413,7095,CHN,2010,1.8357050452781372,1
79,IRL,2.372007587152411,145,CHN,2009,1.8354430379746836,2
3796,PHL,2.9671053676449892,6967,CHN,2013,1.8353530031612224,3
12,VAT,1.5275252316519468,22,CHN,2014,1.8333333333333333,2
60,VAT,3.7469384866313016,110,CHN,2010,1.8333333333333333,2
6,LBR,0.9831920802501749,11,CHN,2008,1.8333333333333333,3
36,ETH,1.4832396974191324,66,CHN,2010,1.8333333333333333,4
168,CHE,3.837518326495344,308,CHN,2012,1.8333333333333333,3
215,SDN,3.3516435450954063,394,CHN,2012,1.8325581395348838,3
137,CMR,2.067142611068596,251,CHN,2014,1.832116788321168,2
2673,GBR,3.3326983474169407,4897,CHN,2014,1.8320239431350542,3
348,POL,2.2970957270772843,637,CHN,2014,1.8304597701149425,1
594,SEA,2.70463551837002,1087,CHN,2014,1.82996632996633,3
17034,RUS,3.8056950599708324,31171,CHN,2010,1.8299283785370435,1
918,KOR,4.238714026954997,1677,CHN,2011,1.826797385620915,2
638,DEU,2.5486438933466324,1165,CHN,2014,1.8260188087774294,3
187,CMR,2.452973256858191,341,CHN,2013,1.8235294117647058,1
10889,USA,3.26221705963104,19856,CHN,2014,1.8234915970245202,4
6435,FRA,3.546560867707192,11734,CHN,2011,1.8234654234654235,1
26292,JPN,2.9759406682272864,47935,CHN,2013,1.8231781530503575,1
467,IRN,3.636441804842915,851,CHN,2013,1.822269807280514,4
14241,USA,3.359266577318655,25919,CHN,2014,1.8200266835194159,2
61,ISL,1.6176958585316286,111,CHN,2011,1.819672131147541,3
160,CMR,1.9356694030065802,291,CHN,2014,1.81875,4
33,LIE,1.1306675421666135,60,CHN,2010,1.8181818181818181,1
11,CZE,0.40451991747794525,20,CHN,2003,1.8181818181818181,3
66,WSM,0.9593121078563118,120,CHN,2010,1.8181818181818181,1
87776,USA,3.5355562432765466,159527,CHN,2013,1.8174330113014947,1
108,MDV,2.4116080188152433,196,CHN,2014,1.8148148148148149,2
812,LAO,2.6951387828578066,1473,CHN,2011,1.814039408866995,1
43,HKG,1.9427007949598263,78,CHN,2008,1.813953488372093,1
1849,GBR,2.764045924628328,3353,CHN,2013,1.8134126554894539,4
75,SSD,1.6165807537309522,136,CHN,2013,1.8133333333333332,4
299,SYR,2.663141220442291,542,CHN,2013,1.8127090301003344,2
1381,VEN,2.915031729563738,2503,CHN,2013,1.8124547429398987,1
4694,DEU,3.6479239158499266,8501,CHN,2011,1.8110353642948445,1
157,CZE,2.4524549656383914,284,CHN,2013,1.8089171974522293,1
525,DEU,4.719128187172366,949,CHN,2011,1.8076190476190477,3
41,MEA,2.4619048742297287,74,CHN,2014,1.8048780487804879,1
97,IRQ,6.513830118898512,175,CHN,2012,1.8041237113402062,4
102,AGO,2.828564397047212,184,CHN,2011,1.803921568627451,2
1219,AUS,3.0535381714850995,2198,CHN,2014,1.8031173092698933,4
1295,KOR,2.339763939928135,2333,CHN,2014,1.8015444015444015,4
