Actor1CountryCode,Actor2CountryCode,Year,ECount,AvgQuadClass
USA,FSM,2014,1074,1.5335195530726258
USA,GEO,2014,185,2.108108108108108
USA,GHA,2014,2027,1.5259003453379378
USA,GMB,2014,211,1.4502369668246446
USA,GRD,2014,411,1.6058394160583942
USA,GTM,2014,4786,1.7808190555787715
USA,HTI,2014,3451,1.5204288611996524
USA,HUN,2014,1125,1.5591111111111111
USA,WST,2014,6489,1.5082447218369548
USA,SEA,2014,2070,1.5429951690821255
USA,IRL,2014,11311,1.6689063743258774
USA,ISL,2014,584,1.4657534246575343
USA,ITA,2014,15680,1.6308035714285714
USA,JAM,2014,3331,1.740618432903032
USA,KAZ,2014,859,1.309662398137369
USA,KEN,2014,4127,1.7923431063726678
USA,KWT,2014,1893,1.774432118330692
USA,LBN,2014,7564,1.853648863035431
USA,LBY,2014,11373,2.43295524487822
USA,LCA,2014,285,1.8105263157894738
USA,LTU,2014,1761,1.6672345258375922
USA,LVA,2014,1480,1.856081081081081
USA,MAR,2014,1558,1.5526315789473684
USA,MCO,2014,1782,1.7800224466891132
USA,MDV,2014,5989,2.2753381198864586
USA,MKD,2014,274,1.562043795620438
USA,MMR,2014,2751,1.6601235914213013
USA,MNG,2014,906,1.2726269315673289
USA,MWI,2014,316,1.231012658227848
USA,NIC,2014,1500,1.4886666666666666
USA,NMR,2014,5466,1.4224295645810465
USA,NOR,2014,3157,1.5112448527082674
USA,NPL,2014,1792,1.4553571428571428
USA,PAN,2014,2875,1.671304347826087
USA,PER,2014,2998,1.667778519012675
USA,PHL,2014,16152,1.5973873204556712
USA,POL,2014,8578,1.8436698531126137
USA,PRK,2014,11691,1.8850397741852707
USA,PRT,2014,1431,1.5925925925925926
USA,PRY,2014,342,1.7426900584795322
USA,QAT,2014,5423,1.5238797713442744
USA,SDN,2014,3847,1.8102417468157006
USA,SEN,2014,759,1.4466403162055337
USA,SLB,2014,295,1.5152542372881357
USA,SLE,2014,1885,1.6026525198938992
USA,SLV,2014,3384,1.7514775413711583
USA,SOM,2014,4895,2.317466802860061
USA,SWE,2014,2649,1.642884107210268
USA,TCD,2014,2074,2.21648987463838
USA,TGO,2014,188,1.5053191489361701
USA,TJK,2014,449,1.6993318485523385
USA,TTO,2014,769,1.5565669700910274
USA,TUN,2014,1482,1.6383265856950067
USA,TWN,2014,3469,1.4802536754107811
USA,TZA,2014,797,1.6010037641154329
USA,UGA,2014,3358,1.891304347826087
USA,URY,2014,941,1.4473963868225292
USA,VAT,2014,2083,1.2846855496879501
USA,VEN,2014,6238,2.022603398525168
USA,VNM,2014,13527,1.8123013232793672
USA,YEM,2014,4086,2.2941752325012237
USA,ZWE,2014,2272,1.8556338028169015
USA,DZA,2014,1446,1.798063623789765
USA,LAO,2014,345,2.008695652173913
USA,BLR,2014,1241,1.282030620467365
USA,GIN,2014,1365,1.663003663003663
USA,VCT,2014,477,1.5681341719077568
UZB,USA,2014,369,1.5745257452574526
VAT,USA,2014,1956,1.3675869120654396
